,handle,handle_name,followers between 200 and 400
1227,@Rajeshsoni_1973 =245,@Rajeshsoni_1973,245
1228,@Avhinay_inc =271,@Avhinay_inc,271
1230,@DevilShadabsidd =393,@DevilShadabsidd,393
1238,@sachshar012 =356,@sachshar012,356
1246,@NishantNexus1 =213,@NishantNexus1,213
1258,@_Pandit_Ji_ =273,@_Pandit_Ji_,273
1261,@Sitaram28392342 =352,@Sitaram28392342,352
1262,@TiGer_Rizvii =361,@TiGer_Rizvii,361
1263,@SidhrajPatel =362,@SidhrajPatel,362
1270,@AttituderSingh =248,@AttituderSingh,248
1281,@abhishek31298 =393,@abhishek31298,393
1282,@Praveendotcom1 =342,@Praveendotcom1,342
1284,@skkaushal44 =362,@skkaushal44,362
1299,@Muhamma87950531 =263,@Muhamma87950531,263
1300,@Mustaqeem760 =299,@Mustaqeem760,299
1303,@1AjeetYadav =278,@1AjeetYadav,278
1305,@Anilkum93798859 =267,@Anilkum93798859,267
1312,@KunwerAvi =238,@KunwerAvi,238
1316,@Bhawani72325508 =257,@Bhawani72325508,257
1319,@devesh10k =353,@devesh10k,353
1322,@Raaz041992 =319,@Raaz041992,319
1324,@chavhan_chandu =329,@chavhan_chandu,329
1346,@iamshenu7376 =342,@iamshenu7376,342
1349,@14MANOHAR =371,@14MANOHAR,371
1352,@KavyaShinha =229,@KavyaShinha,229
1356,@Ashmoha67122589 =262,@Ashmoha67122589,262
1362,@Shubham94128744 =354,@Shubham94128744,354
1372,@sauravv45113979 =293,@sauravv45113979,293
1373,@kranti_yodha =280,@kranti_yodha,280
1374,@SpfArnavraghav5 =304,@SpfArnavraghav5,304
1378,@HydrabadeVishal =372,@HydrabadeVishal,372
1381,@__iJD__ =238,@__iJD__,238
1389,@Suresh14249089 =245,@Suresh14249089,245
1400,@kalyugKachowkid =351,@kalyugKachowkid,351
1403,@kasimansari555 =295,@kasimansari555,295
1404,@prajapatiritik0 =384,@prajapatiritik0,384
1406,@DefenceBlogger =248,@DefenceBlogger,248
1432,@Sofia44448383 =369,@Sofia44448383,369
1434,@skanda1515 =329,@skanda1515,329
1436,@baburaokastyleh =362,@baburaokastyleh,362
1439,@AtulShrivstv =321,@AtulShrivstv,321
1448,@akshayhimself =215,@akshayhimself,215
1495,@VIKASHY1996 =307,@VIKASHY1996,307
1511,@Infinitefounda2 =384,@Infinitefounda2,384
1515,@SuryaPr55853781 =238,@SuryaPr55853781,238
1516,@pankajk02267182 =345,@pankajk02267182,345
1528,@LiemTshue =298,@LiemTshue,298
1532,@vedbhawsar =310,@vedbhawsar,310
1533,@Shikhaj55566349 =344,@Shikhaj55566349,344
1546,@shanu786_92 =374,@shanu786_92,374
1548,@shubashish =371,@shubashish,371
1551,@MahrajAnkit =334,@MahrajAnkit,334
1555,@SunilSamana =379,@SunilSamana,379
1556,@vishu_hindu =318,@vishu_hindu,318
1560,@AmitAgal =388,@AmitAgal,388
1565,@ssani1018 =398,@ssani1018,398
1566,@Arun_naturelove =229,@Arun_naturelove,229
1567,@pathak84 =381,@pathak84,381
1568,@Shraddh18234773 =400,@Shraddh18234773,400
1584,@Rspaswan7 =222,@Rspaswan7,222
1594,@BrrijeshBhargav =324,@BrrijeshBhargav,324
1603,@NathProsonjoy28 =373,@NathProsonjoy28,373
1607,@JoshiNa11238603 =202,@JoshiNa11238603,202
1611,@CHOWKIDARHITE10 =243,@CHOWKIDARHITE10,243
1621,@Manish30583275 =280,@Manish30583275,280
1646,@SachinS77552028 =253,@SachinS77552028,253
1654,@TARA_RJ23 =254,@TARA_RJ23,254
1659,@nishant4_king =241,@nishant4_king,241
1670,@TowerofSilance =362,@TowerofSilance,362
1679,@CdtYashINDIA =326,@CdtYashINDIA,326
1707,@AnuragO83890560 =394,@AnuragO83890560,394
1710,@YESubodh =344,@YESubodh,344
1726,@NiteshTripathi_ =245,@NiteshTripathi_,245
1734,@SantoshJhaINC =359,@SantoshJhaINC,359
1741,@Nskk1234567 =231,@Nskk1234567,231
1743,@kunalpradha =331,@kunalpradha,331
1748,@Imadityagautam =278,@Imadityagautam,278
1759,@imrgahoi =228,@imrgahoi,228
1770,@Shyamsingh_BJP4 =357,@Shyamsingh_BJP4,357
1780,@AnandBallabh11 =349,@AnandBallabh11,349
1786,@KaranSiddh =328,@KaranSiddh,328
1809,@BhanuPratapNSS =393,@BhanuPratapNSS,393
1815,@flying_arrow_ =357,@flying_arrow_,357
1819,@ManojDatic =250,@ManojDatic,250
1821,@DPkumawat95 =333,@DPkumawat95,333
1827,@manishs13710894 =270,@manishs13710894,270
1832,@Honeysss007 =310,@Honeysss007,310
1854,@NITAISAINI =382,@NITAISAINI,382
1856,@OfficeDilipGarg =342,@OfficeDilipGarg,342
1861,@Subandu3 =207,@Subandu3,207
1864,@NareshBGohel1 =400,@NareshBGohel1,400
1868,@IshwarNathJha2 =322,@IshwarNathJha2,322
1869,@NaveenY94386304 =309,@NaveenY94386304,309
1892,@BhaweshPundlik =339,@BhaweshPundlik,339
1894,@Devendr20095324 =219,@Devendr20095324,219
1897,@poojakahar628 =352,@poojakahar628,352
1911,@Jyotikumavat621 =266,@Jyotikumavat621,266
1949,@Dheeru73711533 =265,@Dheeru73711533,265
1966,@surujyani =212,@surujyani,212
1973,@as_daiya_barmer =265,@as_daiya_barmer,265
1980,@Imprashantsahu =368,@Imprashantsahu,368
1994,@Kavya_Kapoor_ =309,@Kavya_Kapoor_,309
1996,@MansinghkaRahul =295,@MansinghkaRahul,295
1999,@anantadanga2301 =261,@anantadanga2301,261
2012,@Balwant53330235 =369,@Balwant53330235,369
2015,@sisoravikant =309,@sisoravikant,309
2030,@nitesh_singh3 =326,@nitesh_singh3,326
2033,@KartikeyRajak1 =264,@KartikeyRajak1,264
2041,@YaaR__TerA =396,@YaaR__TerA,396
2049,@Satendra7917 =211,@Satendra7917,211
2059,@kingsumitK01 =306,@kingsumitK01,306
2073,@DeewanaRaju1 =290,@DeewanaRaju1,290
2075,@27vinaykumar3n =316,@27vinaykumar3n,316
2077,@PriyaIndianArm1 =235,@PriyaIndianArm1,235
2081,@Mansingh13114 =384,@Mansingh13114,384
2101,@mishrajivipin12 =369,@mishrajivipin12,369
2107,@ajaythakur511 =316,@ajaythakur511,316
2116,@aehle2 =238,@aehle2,238
2119,@KunalJh52839791 =258,@KunalJh52839791,258
2126,@1amayra =238,@1amayra,238
2131,@Diljeet53818371 =348,@Diljeet53818371,348
2166,@hwBhDvbVDS7W2c4 =221,@hwBhDvbVDS7W2c4,221
2169,@sandeepharda =282,@sandeepharda,282
2182,@imashutosh007 =229,@imashutosh007,229
2189,@dineshpatelrj16 =332,@dineshpatelrj16,332
2200,@sanjeet0006 =234,@sanjeet0006,234
2202,@prateek_yogi =390,@prateek_yogi,390
2215,@Rajendr09919355 =278,@Rajendr09919355,278
2231,@DevRaghav2411 =328,@DevRaghav2411,328
2239,@SajidAl17866041 =391,@SajidAl17866041,391
2240,@Om123135 =277,@Om123135,277
2278,@Stylist22061245 =206,@Stylist22061245,206
2319,@Manoj40211829 =235,@Manoj40211829,235
2323,@AIngle143 =374,@AIngle143,374
2351,@kanchanp907 =383,@kanchanp907,383
2353,@Piyushj50810954 =294,@Piyushj50810954,294
2371,@bennjiee =276,@bennjiee,276
2396,@roasting_baba =340,@roasting_baba,340
2398,@Abhi__pandey__ =347,@Abhi__pandey__,347
2404,@iMukeshNegi =215,@iMukeshNegi,215
2412,@VIKASHR73465419 =235,@VIKASHR73465419,235
2415,@MaheshK98021818 =397,@MaheshK98021818,397
2418,@Shamshersubhed2 =203,@Shamshersubhed2,203
2425,@ChuvanSandeep =332,@ChuvanSandeep,332
2427,@RanjanJaiswal39 =310,@RanjanJaiswal39,310
2428,@Ranjeet35816317 =262,@Ranjeet35816317,262
2429,@girirajskt =292,@girirajskt,292
2442,@Saurabh51021234 =388,@Saurabh51021234,388
2461,@Gauravk45460864 =400,@Gauravk45460864,400
2466,@KishanG76531337 =239,@KishanG76531337,239
2475,@Keshavkrishnat2 =343,@Keshavkrishnat2,343
2498,@DeepakV46687876 =357,@DeepakV46687876,357
2505,@Babukhan681 =288,@Babukhan681,288
2513,@vikaschhawdi =219,@vikaschhawdi,219
2526,@Kharolradhey1 =259,@Kharolradhey1,259
2529,@Satendra8421 =351,@Satendra8421,351
2530,@SonuSan30244057 =264,@SonuSan30244057,264
2535,@RahulMi32482615 =344,@RahulMi32482615,344
2553,@justrktiwari =391,@justrktiwari,391
2555,@sacchi123B =213,@sacchi123B,213
2559,@VijaySavani9 =388,@VijaySavani9,388
2577,@Sharma_Akhiles9 =244,@Sharma_Akhiles9,244
2580,@weharish =336,@weharish,336
2604,@Ashish84000 =399,@Ashish84000,399
2613,@RRealiene =355,@RRealiene,355
2628,@Siddsingh7277 =380,@Siddsingh7277,380
2634,@DeshbhaktSolo =378,@DeshbhaktSolo,378
2635,@niravmehta07 =348,@niravmehta07,348
2645,@ayodhya4976 =296,@ayodhya4976,296
2648,@RockyParwat =291,@RockyParwat,291
2681,@Santosh98858450 =305,@Santosh98858450,305
2682,@EkNationalist =233,@EkNationalist,233
2683,@Rathi23 =330,@Rathi23,330
