,handle,handle_name,followers
256,@ChakeriRaj =367,@ChakeriRaj,367
257,@BeingRajeevK =726,@BeingRajeevK,726
258,@Adityabanna7 =226,@Adityabanna7,226
259,@SaviourofIndia =440,@SaviourofIndia,440
260,@ShivamHunter3 =337,@ShivamHunter3,337
261,@real_s1999 =1492,@real_s1999,1492
262,@DiwanaShri =211,@DiwanaShri,211
263,@Sachink62791214 =62,@Sachink62791214,62
264,@prathimauiic =1067,@prathimauiic,1067
265,@PankajK57234314 =97,@PankajK57234314,97
266,@iRishabhBJP =1042,@iRishabhBJP,1042
267,@jhanikeshkumar =176,@jhanikeshkumar,176
268,@heyanshrai =156,@heyanshrai,156
269,@MantaraGk =451,@MantaraGk,451
270,@g_popaliya =26,@g_popaliya,26
271,@Bachchanguru =126,@Bachchanguru,126
272,@proudmodiji =614,@proudmodiji,614
273,@eusurtadinho =159041,@eusurtadinho,159041
274,@vaibhav_pundit =87,@vaibhav_pundit,87
275,@NasirBhaisjaan =358,@NasirBhaisjaan,358
276,@Muzaffarnagar01 =705,@Muzaffarnagar01,705
277,@MohdKarimDidar =2388,@MohdKarimDidar,2388
278,@Akashya77918594 =1664,@Akashya77918594,1664
279,@HITENDRA_SINH =8137,@HITENDRA_SINH,8137
280,@ASPSantosh1 =405,@ASPSantosh1,405
281,@Aastha_dasi =3060,@Aastha_dasi,3060
282,@Itz_thara =1097,@Itz_thara,1097
283,@ProudyBihari =881,@ProudyBihari,881
284,@dave_neel =4370,@dave_neel,4370
285,@maheshvarig11 =11783,@maheshvarig11,11783
286,@MAJID2online =609,@MAJID2online,609
287,@ManTheiron =349,@ManTheiron,349
288,@sid249ji =66,@sid249ji,66
289,@DSU73Yei5FepuCt =1314,@DSU73Yei5FepuCt,1314
290,@MauryaPrduman =318,@MauryaPrduman,318
291,@smnahar =6450,@smnahar,6450
292,@surendra___ji =1308,@surendra___ji,1308
293,@pritam54033054 =177,@pritam54033054,177
294,@ModiFan80425562 =820,@ModiFan80425562,820
295,@MrBusinessMan6 =220,@MrBusinessMan6,220
296,@ROMESHSHAH2 =1391,@ROMESHSHAH2,1391
297,@raman100100100 =356,@raman100100100,356
298,@hj_india =1167,@hj_india,1167
299,@SeemaKu88820897 =58,@SeemaKu88820897,58
300,@TheAuthor_Rishi =843,@TheAuthor_Rishi,843
301,@aatique222 =256,@aatique222,256
302,@MadhuSi93182701 =291,@MadhuSi93182701,291
303,@tripathi_m_m =331,@tripathi_m_m,331
304,@Realdurgarani =1298,@Realdurgarani,1298
305,@drjaibhu =1545,@drjaibhu,1545
306,@imRishabh_Gupta =289,@imRishabh_Gupta,289
307,@parihardheeru1 =684,@parihardheeru1,684
308,@KuNalYaDav55 =287,@KuNalYaDav55,287
309,@RajmaniRChauhan =4874,@RajmaniRChauhan,4874
310,@AkashRa35819436 =434,@AkashRa35819436,434
311,@Suraj494 =314,@Suraj494,314
312,@dineshkd1997 =746,@dineshkd1997,746
313,@RajneeshTrainer =353,@RajneeshTrainer,353
314,@SatyavachanT =40,@SatyavachanT,40
315,@Aashish86978542 =236,@Aashish86978542,236
316,@haristiwari =302,@haristiwari,302
317,@Rameshw18528736 =140,@Rameshw18528736,140
318,@PankajG39182579 =908,@PankajG39182579,908
319,@Pindi___Boy =2775,@Pindi___Boy,2775
320,@shashikundan11 =1306,@shashikundan11,1306
321,@meettnamo143 =194,@meettnamo143,194
322,@Sidhrajsolanki =288,@Sidhrajsolanki,288
323,@PINKUPRINCE4 =344,@PINKUPRINCE4,344
324,@kjaiswal3 =96,@kjaiswal3,96
325,@arvind_ranjan =420,@arvind_ranjan,420
326,@GopalPr23043870 =61,@GopalPr23043870,61
327,@qshaikhu =1460,@qshaikhu,1460
328,@sagarika_India =19539,@sagarika_India,19539
329,@shankarlalmla =9365,@shankarlalmla,9365
330,@Samirk12345 =307,@Samirk12345,307
331,@susheelofficial =1365,@susheelofficial,1365
332,@Rishike63643428 =708,@Rishike63643428,708
333,@UmaRaj_94 =2285,@UmaRaj_94,2285
334,@z_p9955 =5187,@z_p9955,5187
335,@MiguelHilargiak =25874,@MiguelHilargiak,25874
336,@SinghJugendr =305,@SinghJugendr,305
337,@Aarti50257808 =74,@Aarti50257808,74
338,@shekharmcs =521,@shekharmcs,521
339,@SONU_SARKAR1 =250,@SONU_SARKAR1,250
340,@RS20121969 =297,@RS20121969,297
341,@DKumarchandra =52,@DKumarchandra,52
342,@Pradeep22414869 =252,@Pradeep22414869,252
343,@nation_first7 =764,@nation_first7,764
344,@pintubjp02 =2113,@pintubjp02,2113
345,@abha_kush =1319,@abha_kush,1319
346,@DiwakarSpeaks =789,@DiwakarSpeaks,789
347,@Virendra_BJP_Up =181,@Virendra_BJP_Up,181
348,@DineshB15384446 =1590,@DineshB15384446,1590
349,@SoulSpeech101 =525,@SoulSpeech101,525
350,@manepalibaabu =136,@manepalibaabu,136
351,@sunil_maheswar =321,@sunil_maheswar,321
352,@SupriyaSinha47 =184,@SupriyaSinha47,184
353,@money4213gh =7153,@money4213gh,7153
354,@ATHARVA__ji =840,@ATHARVA__ji,840
355,@sumit_gonda =809,@sumit_gonda,809
356,@JasaparaJay =253,@JasaparaJay,253
357,@meet1010 =396,@meet1010,396
358,@Oshoshiva =10956,@Oshoshiva,10956
359,@unisha_sharma =3872,@unisha_sharma,3872
360,@AmanKumarGoya15 =377,@AmanKumarGoya15,377
361,@imAmit426 =526,@imAmit426,526
362,@AnnasaDhele =436,@AnnasaDhele,436
363,@Lovedos85829437 =5502,@Lovedos85829437,5502
364,@naghimanshk110 =1224,@naghimanshk110,1224
365,@journlistshri =546,@journlistshri,546
366,@aldrinshere =998,@aldrinshere,998
367,@LuckyBa36637494 =1406,@LuckyBa36637494,1406
368,@GurgaonLe =165,@GurgaonLe,165
369,@rinashukla11 =1897,@rinashukla11,1897
370,@Airtel754936 =5716,@Airtel754936,5716
371,@mukesh_goswami7 =663,@mukesh_goswami7,663
372,@pankajk01101981 =299,@pankajk01101981,299
373,@BabaGoswami5 =1099,@BabaGoswami5,1099
374,@mkumar190 =1057,@mkumar190,1057
375,@amitoshverma =189,@amitoshverma,189
376,@NayaHindu =1327,@NayaHindu,1327
377,@kpsinghorai =1466,@kpsinghorai,1466
378,@RanbirNag =3664,@RanbirNag,3664
379,@HINDU_LUCKY_RAM =435,@HINDU_LUCKY_RAM,435
380,@Vande_matarm19 =2758,@Vande_matarm19,2758
381,@SSingh_tpn =407,@SSingh_tpn,407
382,@Abhijitsingh45 =557,@Abhijitsingh45,557
383,@virendr75705379 =4832,@virendr75705379,4832
384,@Rajendr1650 =740,@Rajendr1650,740
385,@mr_stylones =81,@mr_stylones,81
386,@ajay_rawat96 =344,@ajay_rawat96,344
387,@1008udaybharti =338,@1008udaybharti,338
388,@imAbhishek_20 =19773,@imAbhishek_20,19773
389,@Sonugup93601583 =1233,@Sonugup93601583,1233
390,@jdrao81700 =2061,@jdrao81700,2061
391,@amitsolanki750 =818,@amitsolanki750,818
392,@Varsha_45 =3414,@Varsha_45,3414
393,@AnupSin30979859 =749,@AnupSin30979859,749
394,@Anubhav27670846 =43,@Anubhav27670846,43
395,@hotels_le =904,@hotels_le,904
396,@BjymHO =1903,@BjymHO,1903
397,@RajPreet1618 =680,@RajPreet1618,680
398,@narendramodipg1 =3757,@narendramodipg1,3757
399,@deepakC31159068 =381,@deepakC31159068,381
400,@Anantkumar7352 =61,@Anantkumar7352,61
401,@GayatriOficial =476,@GayatriOficial,476
402,@ChowkidarMohit =521,@ChowkidarMohit,521
403,@Prahala73137914 =660,@Prahala73137914,660
404,@Anuu099 =1040,@Anuu099,1040
405,@Rahulariesson =401,@Rahulariesson,401
