Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1.18707E+18,https://twitter.com/dhurtladki/status/1187067767381319681,"दीपावली पर एक छोटी सी अपील: कृपया पटाखे छोड़े क्यों की ये त्यौहार ही पटाखों का है
रही बात पर्यावरण की एक दीवाली की रात बारूद की महक से सारे मच्छरो और कई कीड़ों का सफाया हो जाता है
सालभर रूम में बैठकर ओजोन लेयर की ऐसी तैसी करने वाले कृपया दीपावली पर आतिशबाजी न करने की सलाह न दें",2019-10-23 18:06 +0000,236,13,0.055084746,1,1,8,2,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18706E+18,https://twitter.com/dhurtladki/status/1187055153565720578,@tankarvind @premchandrasiso @I_Abhi18 @deogharmail @NikhatP75340495 @Parnika_D96 @InduParihar2 @Thakura57773322 @Pg4333gg @Ravisha39165893 @Aarushi_Ssingh @RajuSin44175408 @iamPrabhat18 @ShyamSi14695571 @Hindu_SM_IND @Rana_ji2 @PankajofficialK @Nageshwar,2019-10-23 17:16 +0000,45,4,0.088888889,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18697E+18,https://twitter.com/dhurtladki/status/1186968840342667264,@ChandaKhichi @americi_Trump Kyuki aayegi hi nhi.. 😉😉,2019-10-23 11:33 +0000,13,1,0.076923077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18697E+18,https://twitter.com/dhurtladki/status/1186968745006157830,@bhaumik57650700 @ChandaKhichi @americi_Trump Kha,2019-10-23 11:32 +0000,18,1,0.055555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18696E+18,https://twitter.com/dhurtladki/status/1186964615898390528,@PkIndiac @rajeevrana1 🙄🙄😂😂,2019-10-23 11:16 +0000,31,2,0.064516129,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18696E+18,https://twitter.com/dhurtladki/status/1186957908736524288,@PramodkumarTriv @IamKaran_Sood @MadanKu43431327 @Ashish_Ashirwad @vishalc17146507 @sgbatra @Er_Chandrakanta @Anandktrbjp @Thiru79152337 @justRsays @Aditi70338427 @sohanrupam2009 @TeamSPFIndia @AzaadP58045714 Done all,2019-10-23 10:49 +0000,84,14,0.166666667,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18696E+18,https://twitter.com/dhurtladki/status/1186957690255228928,@Pysofficial0 Done,2019-10-23 10:49 +0000,34,1,0.029411765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18696E+18,https://twitter.com/dhurtladki/status/1186957458968928256,@PramodkumarTriv @SharibZaidi5 Done,2019-10-23 10:48 +0000,34,2,0.058823529,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18696E+18,https://twitter.com/dhurtladki/status/1186957416308465665,@SanjaySakarkar Done,2019-10-23 10:47 +0000,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18696E+18,https://twitter.com/dhurtladki/status/1186957360578748421,@AyurvigyanV @SharibZaidi5 Done,2019-10-23 10:47 +0000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18687E+18,https://twitter.com/dhurtladki/status/1186866519071805440,@Fiyaat_ @Rabipirzada Perfect,2019-10-23 04:46 +0000,8287,81,0.009774345,0,0,21,58,0,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18666E+18,https://twitter.com/dhurtladki/status/1186660312033845251,"अभी 75 लोगो को अनफॉलो किया है जिन्होंने फॉलो बैक लेकर अनफॉलो किया था।

यदि गलती से कोई अनफॉलो हो गया है मुझसे...
 कृपया मुझे DM या कमेंट में बताये🙏

100% follow back❣",2019-10-22 15:07 +0000,2327,231,0.099269446,7,14,50,152,0,0,8,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18666E+18,https://twitter.com/dhurtladki/status/1186659974295908353,@americi_Trump @khbarbazziii @Rimpy71525710 Thanks baba... Just saw😍😍,2019-10-22 15:05 +0000,19,2,0.105263158,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18666E+18,https://twitter.com/dhurtladki/status/1186659442873360386,Indian talent 😍😍 https://t.co/i0NfflCUVc,2019-10-22 15:03 +0000,161,2,0.01242236,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
